angyuxiangqiao 盎盂相敲
aoaodaibu 嗷嗷待哺
aobukezhang 傲不可长
aobukezhang 敖不可长
aochangguadu 熬肠刮肚
aogengshouye 熬更守夜
aogulinlin 傲骨嶙嶙
aohuimoji 懊悔莫及
aohuiwuji 懊悔无及
aojiangxiacu 熬姜呷醋
aokushoudan 熬枯受淡
aoliduozun 鳌里夺尊
aomanbuxun 傲慢不逊
aomanshaoli 傲慢少礼
aomanwuli 傲慢无礼
aomiaowuqiong 奥妙无穷
aonidezhi 傲睨得志
aoniwanwu 傲睨万物
aoniyiqie 傲睨一切
aoniyishi 傲睨一世
aoniziruo 傲睨自若
aoqingshoudan 熬清受淡
aoqingshoudan 熬清守淡
aorantingli 傲然挺立
aoranyili 傲然屹立
aoshiqingwu 傲世轻物
aoshuangdouxue 傲霜斗雪
aotouaonao 傲头傲脑
aotouduzhan 鳌头独占
aotubuping 凹凸不平
aoxianmanshi 傲贤慢士
aoxiangzide 遨翔自得
aoxinfeili 熬心费力
aoxuelingshuang 傲雪凌霜
aoxueqishuang 傲雪欺霜
aoyajikou 聱牙戟口
aoyajiqu 聱牙诘屈
aoyajiequ 聱牙诘曲
aoyajiequ 謷牙诘屈
aoyoufeihuo 熬油费火
aoyuanyouling 奥援有灵
babajiejie 巴巴劫劫
babajiejie 巴巴结结
babaiguhan 八百孤寒
babaizhijiao 八拜之交
babensaiyuan 拔本塞原
babirulin 把臂入林
bachibuding 把持不定
bachuanglinglong 八窗玲珑
bacuichulei 拔萃出类
bacuichuqun 拔萃出群
badaoxiangxiang 拔刀相向
badaoxiangzhu 拔刀相助
badiyaoshan 拔地摇山
badiyitian 拔地倚天
badouzhicai 八斗之才
bafangfengyu 八方风雨
bafanghuying 八方呼应
bafangzhichi 八方支持
bafangzhiyuan 八方支援
bafuxunan 八府巡按
bahongtonggui 八纮同轨
bahufeiyang 跋扈飞扬
bahuzisui 跋扈恣睢
bahuzizi 跋扈自恣
bahuangzhiwai 八荒之外
bajianlungong 拔剑论功
bajiejiumo 八街九陌
bajiubulishi 八九不离十
bajiuchiao 把酒持螯
bakuiquzhi 拔葵去织
balaibaowang 拔来报往
balaibaowang 跋来报往
balingzuiwei 霸陵醉尉
balvshanchuan 跋履山川
bamaojishi 拔毛济世
bamaolianru 拔毛连茹
bamaolianru 拔茅连茹
bamianjianguang 八面见光
bamianlinglong 八面玲珑
bamianshifeng 八面驶风
bamianshoudi 八面受敌
bamianweifeng 八面威风
bamianyingche 八面莹澈
bamianyuantong 八面圆通
bamianzhangluo 八面张罗
bamiaozhuzhang 拔苗助长
baqiansuanhou 巴前算后
baqianzhihou 跋前踬后
baqunchucui 拔群出萃
barenxiali 巴人下里
basanlansi 巴三览四
bashanchaohai 拔山超海
bashangaishi 拔山盖世
bashangangding 拔山扛鼎
bashanjuding 拔山举鼎
bashanshechuan 跋山涉川
bashansheshui 跋山涉水
bashanshushui 巴山蜀水
bashanyeyu 巴山夜雨
bashanyueling 巴山越岭
basheshanchuan 跋涉山川
bashidewu 拔十得五
bashishiwu 拔十失五
bashuhanshan 拔树撼山
bashusougen 拔树搜根
bashuxungen 拔树寻根
bawansiqian 八万四千
bawanwuyan 把玩无厌
bawangbieji 霸王别姬
bawangfengyue 霸王风月
baxizhuoxiang 拔犀擢象
baxinlingyi 拔新领异
baxinzhuhuo 把薪助火
bayindiezou 八音迭奏
bayinemi 八音遏密
bazhaoyihan 拔赵易汉
bazhenyushi 八珍玉食
bazhiyizhi 拔帜易帜
bazidakai 八字打开
bazimeiyipie 八字没一撇
baibandiaonan 百般刁难
baibanfengcheng 百般奉承
baibanfuwei 百般抚慰
baibanzhemo 百般折磨
baibicongsheng 百弊丛生
baibiqingying 白璧青蝇
baibisanxian 白璧三献
baibiweixia 白璧微瑕
baibiwuxia 白璧无瑕
baibuchuanyang 百步穿杨
baibudangyi 百不当一
baibuhuoyi 百不获一
baibushiyi 百不失一
baibuxuanzhong 败不旋踵
baibuyidai 百不一贷
baicaishangjin 败材伤锦
baicaohuangyun 白草黄云
baichigantou 百尺竿头
baichiqingmei 白齿青眉
baichuanchaohai 百川朝海
baichuanfuhai 百川赴海
baichuanguihai 百川归海
baicizhishi 拜赐之师
baidaiguoke 百代过客
baidaiwenzong 百代文宗
baidaoyuanmen 拜倒辕门
baidingsuke 白丁俗客
baidubuyan 百读不厌
baiduandaiju 百端待举
baiduanjiaoji 百端交集
baierguanhe 百二关河
baiershanchuan 百二山川
baiershanhe 百二山河
baifabaizhong 百发百中
baifacangcang 白发苍苍
baifacangyan 白发苍颜
baifadanxin 白发丹心
baifahongyan 白发红颜
baifaluanji 败法乱纪
baifaqianzhang 白发千丈
baifaqingshan 白发青衫
baifaruxin 白发如新
baifazhuyan 白发朱颜
baifanqingchu 白饭青刍
baifeidaiju 百废待举
baifeidaixing 百废待兴
baifeijuxing 百废俱兴
baifeijuxing 百废具兴
baifujuzhen 百福具臻
baiganjiaoji 百感交集
baiguluye 白骨露野
baiguzhipi 败鼓之皮
baiguaiqianqi 百怪千奇
baiguanxiaoshuo 稗官小说
baiguanyeshi 稗官野史
baiguiqiushen 拜鬼求神
baiguizhidian 白圭之玷
baihezongheng 捭阖纵横
baiheifenming 白黑分明
baihongguanri 白虹贯日
baihuaqifang 百花齐放
baihuashengri 百花生日
baihuazhengyan 百花争妍
baihuazhengyan 百花争艳
baihuazhiyuan 白华之怨
baihuijuju 百堕俱举
baihuiqianpa 百卉千葩
baihuiyici 百喙一词
baijiqianfang 百计千方
baijiqianmou 百计千谋
baijiqianxin 百计千心
baijialanshan 白袷蓝衫
baijiazhengming 百家争鸣
baijiangfenghou 拜将封侯
baijiechouchang 百结愁肠
baijubaijie 百举百捷
baijubaiquan 百举百全
baijuguoxi 白驹过隙
baijukonggu 白驹空谷
baijunzhijiang 败军之将
baikanbuyan 百看不厌
baikongqianchuang 百孔千创
baikongqianchuang 百孔千疮
baikoumobian 百口莫辩
baikoutongsheng 百口同声
bailamingjing 白蜡明经
bailitiaoyi 百里挑一
bailizhicai 百里之才
bailianchenggang 百炼成刚
bailianchenggang 百炼成钢
bailincanjia 败鳞残甲
bailingbaili 百伶百俐
bailingmeishou 百龄眉寿
bailiucanhua 败柳残花
bailongyufu 白龙鱼服
baimaguoxi 白马过隙
baimaohuangyue 白旄黄钺
baimeiqianjiao 百媚千娇
baimiyishu 百密一疏
baimianrusheng 白面儒生
baimianshusheng 白面书生
baimouqianji 百谋千计
bainianbuyu 百年不遇
bainiandaji 百年大计
bainiandaye 百年大业
bainianhaohe 百年好合
bainianhaoshi 百年好事
bainiannanyu 百年难遇
bainianshuren 百年树人
bainianxielao 百年偕老
bainianxielao 百年谐老
bainianzhihao 百年之好
bainianzhihou 百年之后
bainianzhiye 百年之业
bainianzhiyue 百年之约
baiqiaochengqiong 百巧成穷
baiqiaoqianqiong 百巧千穷
bairenchengjin 百忍成金
bairifeisheng 白日飞升
bairijiangui 白日见鬼
bairiqingtian 白日青天
bairishangsheng 白日上升
bairishengtian 白日升天
bairiyixiu 白日衣绣
bairizuomeng 白日作梦
bairizuomeng 白日做梦
baishanheishui 白山黑水
baishechongjian 百舍重茧
baishenheshu 百身何赎
baishenmoshu 百身莫赎
baishidaji 百事大吉
baishiliufang 百世流芳
baishiwucheng 百事无成
baishiyiren 百世一人
baishizhishi 百世之师
baishoubeimian 白首北面
baishouchengjia 白手成家
baishoukonggui 白首空归
baishouqijia 白手起家
baishouqimei 白首齐眉
baishouqiongjing 白首穷经
baishouruxin 白首如新
baishoutonggui 白首同归
baishouweilang 白首为郎
baishouxiangzhi 白首相知
baishouxingjia 白手兴家
baishouzhixin 白首之心
baishuijianxin 白水鉴心
baisibujie 百思不解
baisuiqianqiu 百岁千秋
baisuizhihao 百岁之好
baisuizhihou 百岁之后
baitianjiangui 白天见鬼
baitoudaolao 白头到老
baitouruxin 白头如新
baitouxiangshou 白头相守
baitouxielao 白头偕老
baituchiwu 白兔赤乌
baiwanxiongbing 百万雄兵
baiwanxiongshi 百万雄师
baiwangheilai 白往黑来
baiweiyaotou 摆尾摇头
baiwenburuyijian 百闻不如一见
baiwenbuyan 百问不厌
baiwuhanmen 白屋寒门
baiwujinji 百无禁忌
baiwuliaolai 百无聊赖
baiwushichu 百无是处
baiwuyikan 百无一堪
baiwuyineng 百无一能
baiwuyishi 百无一失
baiwuyishi 百无一是
baiwuyiyong 百无一用
