bolangbuchangqi 波浪补偿器
boluo 波罗
boluoyikepuyuanli 波罗一科普原理
bopucedingyi 波谱测定仪
bopujiqun 波谱集群
boputezhengkongjian 波谱特征空间
boputezhengquxian 波谱特征曲线
bopuxiangyingquxian 波谱响应曲线
boshujiao 波束角
bowei 泊位
buchangqi 补偿器
buchangqibuchangwucha 补偿器补偿误差
bugegaizheng 布格改正
bugeyichang 布格异常
buguanqiduyinhuohanyi 不管其读音或含意
bulongsigongshi 布隆斯公式
bushe 布设
buyehamawenti 布耶哈马问题
caibogongchengduanmiantu 采剥工程断面图
caibogongchengzonghepingmiantu 采剥工程综合平面图
caichangceliang 采场测量
caijuechangyanshouce 采掘场验收测
caijuechangyanshouceliang 采掘场验收测量
caijuegongchengpingmiantu 采掘工程平面图
caiquceliang 采区测量
caiqulianxiceliang 采区联系测量
caisebianhuan 彩色变换
caisebianma 彩色编码
caisefuzhi 彩色复制
caiseganguangcailiao 彩色感光材料
caisehongwaipian 彩色红外片
caisejiaoyang 彩色校样
caisepian 彩色片
caisesheying 彩色摄影
caisexianhuajiaoyang 彩色线划校样
caiseyangtu 彩色样图
caisezengqiang 彩色增强
caisezuobiaoxi 彩色坐标系
caiyang 采样
caiyangjiange 采样间隔
caiyongsan 采用三
cankaotuoqiu 参考椭球
cankaotuoqiudingwei 参考椭球定位
canshupingcha 参数平差
canzhaoshuju 参照数据
canzhaoxiaoying 参照效应
caoce 草测
caozuozhe 操作者
cebiao 测标
cefangjiaohui 侧方交会
cegan 测杆
cegaoyi 测高仪
cehui 测回
cehuibiaozhun 测绘标准
cehuixue 测绘学
cehuiyiqi 测绘仪器
cejiaoyi 测角仪
cejiaozhongwucha 测角中误差
cejuchadingwei 测距差定位
cejudingweixitong 测距定位系统
cejujingweiyi 测距经纬仪
cejuleida 测距雷达
cejumangqu 测距盲区
cejuwucha 测距误差
cejuyi 测距仪
cekongtiao 测控条
celiangbiaozhi 测量标志
celiangchanbiao 测量觇标
celiangchuan 测量船
celiangguifan 测量规范
celiangkongzhiwang 测量控制网
celiangpingcha 测量平差
celiangwucha 测量误差
celiangwuchadegailvdengyu 测量误差的概率等于
celiangxue 测量学
celiu 测流
cequ 测区
cequdaihao 测区代号
cequfanwei 测区范围
cequmingcheng 测区名称
cesaoshengna 侧扫声呐
ceshen 测深
ceshengaizheng 测深改正
ceshengan 测深杆
ceshenjingdu 测深精度
ceshenyidushujingdu 测深仪读数精度
ceshenyifashexian 测深仪发射线
ceshenyihuiboxinhao 测深仪回波信号
ceshenyijiluzhi 测深仪记录纸
ceshenyilingxian 测深仪零线
ceshileida 侧视雷达
cesubiao 测速标
cetuweixing 测图卫星
ceweimiduji 测微密度计
ceweimujing 测微目镜
ceweiqi 测微器
cexian 测线
cezhan 测站
cezhanguixin 测站归心
cengjiangaizheng 层间改正
chafen 差分
chafentai 差分台
chayiyu 差异阈
chanbiao 觇标
changan 觇杆
chanpai 觇牌
changcha 常差
changdubiaozhunjiandingchang 长度标准检定场
changzhiceliang 厂址测量
chaodaozhongliyi 超导重力仪
chaojiaodianjuli 超焦点距离
chaojinsheyingceliang 超近摄影测量
chaoxibiao 潮汐表
