chiwei 赤纬
chiweijueduizhidayu 赤纬绝对值大于
chiweiquan 赤纬圈
chiweisuicha 赤纬岁差
chongdong 虫洞
chongjiare 重加热
chugui 初轨
chukui 初亏
chuling 出凌
chushijie 出视界
chuandixingyun 船底星云
chuandizuoxingyun 船底座星云
chuanfan 船帆
chuanfanmaichongtuo 船帆脉冲唾
chuizhiquan 垂直圈
chunfendian 春分点
chunteluoyiqun 纯特洛伊群
cibao 磁胞
cidanji 磁单极
ciduixiao 磁对消
cigai 磁盖
cigou 磁钩
cihuan 磁环
cipeng 磁蓬
cirenzhifushe 磁轫致辐射
citu 磁图
cituopu 磁拓扑
cixiangyi 磁象仪
cixing 次星
cixing 磁星
ciyuan 磁元
cizhonglian 磁重联
cizuni 瓷阻尼
cizuni 磁阻尼
cuanruxing 窜入星
cunzaishijianjinyue 存在时间仅约
daanban 大暗斑
dabaiban 大白斑
dabaozhayuzhoulun 大爆炸宇宙论
dachangbaozhang 大场暴涨
dachong 大冲
dahongban 大红斑
daju 大距
dalingshibianxing 大陵食变星
dalingshuangxing 大陵双星
dalingwu 大陵五
dalingxingbianxing 大陵型变星
dalingxingshuangxing 大陵型双星
damaiyun 大麦云
daqishi 大气食
daqishiningdu 大气视宁度
daqitoumingdu 大气透明度
daqixishou 大气吸收
daqizheshe 大气折射
daquanxingxing 大犬型星
daquanxingyun 大圈星云
dashujiashuo 大数假说
daxingxing 大行星
daxiongxingtuan 大熊星团
dazhiliangxing 大质量星
dailingexiaoying 戴林格效应
daineixingxing 带内行星
daiwaixingxing 带外行星
danchangbaozhang 单场暴涨
danchangbaozhangmoxing 单场暴涨模型
danjiheizi 单极黑子
danpufenguangshuangxing 单谱分光双星
dantanxunhuan 氮碳循环
danweitijineizhiliangzai 单位体积内质量在
danxu 氮序
daofengdu 氘丰度
daoxing 导星
daoxingjing 导星镜
daoxingzhuangzhi 导星装置
deguokangdeyu 德国康德于
deguoshizhuangzhi 德国式装置
dexiteyuzhoumoxing 德西特宇宙模型
dengbiansanjiaoxingdian 等边三角形点
denggaoyi 等高仪
dengguangduceliang 等光度测量
dengjishiyuzhoulun 等级式宇宙论
denglizititiantiwulixue 等离子体天体物理学
denglingxian 等龄线
dengxiaowendu 等效温度
dengyuhengxingzhounianshichawei 等于恒星周年视差为
dengzhijiaoju 等值焦距
dengzhikuandu 等值宽度
didianlixingxihe 低电离星系核
dieryuzhousudu 第二宇宙速度
difangshi 地方时
diguchaoxinxing 第谷超新星
digutixi 第谷体系
diguzuobiaoxi 地固坐标系
diji 地极
dijiguance 地基观测
dimianguance 地面观测
dimiantianwenxue 地面天文学
dipianbilichi 底片比例尺
dipianchangshu 底片常数
dipianwu 底片雾
dipingjingdu 地平经度
dipingjingquan 地平经圈
dipingjingweiyi 地平经纬仪
dipingjingyi 地平经仪
dipingquan 地平圈
dipingshicha 地平视差
dipingtu 地平图
dipingweidu 地平纬度
dipingweiquan 地平纬圈
dipingxiangxianyi 地平象限仪
dipingxing 地平星
dipingzhuangzhi 地平装置
dipingzuobiaoxi 地平坐标系
diqiudingxiangcanshu 地球定向参数
diqiulixuexi 地球力学系
diqiupianlv 地球偏率
diqiushi 地球时
diqiuzizhuancanshu 地球自转参数
diqiuzuobiaoxi 地球坐标系
disanyuzhousudu 第三宇宙速度
diwaishengmingsouxun 地外生命搜寻
diwaishengwuxue 地外生物学
diwaiwenming 地外文明
diwaizhihuishengwu 地外智慧生物
diwuyuzhousudu 第五宇宙速度
dixinlibiao 地心历表
dixintixi 地心体系
dixinyinlichangshu 地心引力常数
dixinzuobiao 地心坐标
dixinzuobiaoshi 地心坐标时
diyiyuzhousudu 第一宇宙速度
diyuexitong 地月系统
diyuezhiliangbi 地月质量比
dizhi 地支
diancibopu 电磁波谱
dianheouheqijian 电荷耦合器件
dianheouheqijian 电荷藕合器件
dianlicengturao 电离层突扰
dianliqingqu 电离氢区
dianliqingxingxi 电离氢星系
dianliwendu 电离温度
dianliupian 电流片
dianshidaoxingjing 电视导星镜
dianxingguangzinengliangyue 典型光子能量约
dianxingshu 点星术
dianzizhaoxiangji 电子照相机
diaoju 雕具
dingbiao 定标
